dzbo,981256628,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,,
eawy,856782517,1432000513,domain_users,Thu Jul 24 17:55:55 +0000 2025,domain_users,dna_aws_hpc,NNmegaTAL,mega,,,,,,,,,,,,,,,,,,,,,
efav,856754405,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,TDDP,red-dp,TnT-Admin,reddp-dpt-img-dev-r,reddp-dpt-meta-dev-r,reddp-dpt-img-prd-r,reddp-dpt-meta-prd-r,REDDP_READER_P,,,,,,,,,,,,,,,
efzo,1104581822,1432000513,domain_users,Mon Jun 30 06:50:51 +0000 2025,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
ekmp,1022274882,1432000513,domain_users,**Never logged in**,domain_users,cdd,dna_aws_hpc,nn_bdas_reader,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,
ekzv,856797401,1432000513,domain_users,**Never logged in**,domain_users,genetics_ukb53639,dna_aws_hpc,biobeat,datahub-genetics-ukb53639,comphealth,,,,,,,,,,,,,,,,,,,
encu,856782597,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,NNmegaTAL,mega,,,,,,,,,,,,,,,,,,,,,
endk,1022201261,1432000513,domain_users,Sun Jun 22 08:54:36 +0000 2025,domain_users,dna_aws_hpc,REDDP_READER_P,AntibodyDesign,,,,,,,,,,,,,,,,,,,,,
entm,206830998,1432000513,domain_users,Mon Jul 28 14:38:51 +0000 2025,domain_users,DF_KG,local_ukbiobank,nnrco_tci,isoseq_dicerna_compbio,sysbiotarget,mdu,genetics_ukb53639,ad_jira_red,dna_aws_hpc,nnrco,datahub-mdu,REDDP_READER_P,dewp_image_analys,,,,,,,,,,,
epfz,1022269873,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,reddp_tde_hci_img_r,,,,,,,,,,,,,,,,,,,,,,
epru,1022281978,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
eqmt,981311753,1432000513,domain_users,Mon Aug  4 13:15:47 +0000 2025,domain_users,dept105,ukb_proteomics,genetics_ukb65851,Backman2021_WES,aagenetics,genetics_ukb53639,ad_jira_red,genetics_starnet,dna_aws_hpc,nnrco,step_genetics,datahub-finngen-ukbb,datahub-dept105,tde_campaigns,,,,,,,,,,
evjh,1432119242,1432000513,domain_users,**Never logged in**,domain_users,417_AKA_offline,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,
